"","�..HALTER_ID","ALTER","GESCHLECHT","STADTKREIS","STADTQUARTIER","RASSE1","RASSE2","GEBURTSJAHR_HUND","GESCHLECHT_HUND","HUNDEFARBE"
"2404",92750,"51-60","w",11,111,"Podenco","",2006,"m","rot/braun"
"2405",92779,"41-50","m",8,83,"Mischling klein","",2011,"m","braun/schwarz"
"2406",92779,"41-50","m",8,83,"Mischling klein","",2003,"m","tricolor"
"2407",92807,"21-30","w",11,115,"Golden Retriever","",2007,"m","schwarz"
"2408",92843,"31-40","m",10,102,"Cane Corso","",2015,"w","schwarz"
"2409",92843,"31-40","m",10,102,"Deutscher Schäfer","",2007,"m","braun/schwarz"
"2410",92844,"51-60","m",5,52,"Labrador Retriever","",2006,"m","gelb"
"2411",92851,"51-60","w",10,102,"Jack Russel Terrier","",2007,"w","grau/schwarz"
"2412",92864,"41-50","w",8,81,"Mops","",2007,"m","beige"
"2413",92886,"31-40","w",3,31,"Englische Bulldogge","",2011,"m","braun/weiss"
"2414",92902,"61-70","w",10,101,"Mischling klein","",2007,"w","beige/braun"
"2415",92936,"71-80","w",11,111,"Cairn Terrier","",2005,"m","braun"
"2416",92944,"31-40","w",11,115,"Pudel","",2009,"w","silber"
"2417",92974,"41-50","m",4,41,"Bergamasker","",2008,"m","grau/braun/schwarz"
"2418",92975,"51-60","m",3,33,"Labrador Retriever","",2011,"m","braun"
"2419",92994,"71-80","m",8,83,"Spitz","",2007,"m","weiss"
"2420",93008,"31-40","m",10,101,"Zwergpinscher","",2008,"w","schwarz"
"2421",93016,"41-50","w",11,115,"Griffon","",2012,"m","beige/braun"
"2422",93035,"71-80","w",3,34,"Mischling klein","",2005,"w","schwarz/weiss"
"2423",93041,"31-40","w",9,92,"Französische Bulldogge","",2014,"w","brindle"
"2424",93055,"51-60","w",11,119,"Rehpinscher","",2008,"m","schwarz/braun"
"2425",93055,"51-60","w",11,119,"Rehpinscher","Zwergpinscher",2011,"w","rehbraun"
"2426",93071,"41-50","w",11,111,"Havaneser","",2015,"w","schwarz/weiss"
"2427",93083,"41-50","m",6,61,"Labrador Retriever","",2008,"m","blondfarben"
"2428",93089,"61-70","m",11,111,"Jack Russel Terrier","",2008,"m","tricolor"
"2429",93091,"51-60","w",7,72,"Mischling klein","",2008,"w","schwarz"
"2430",93100,"51-60","m",4,42,"Katalanischer Schäferhund","",2010,"w","sable"
"2431",93125,"71-80","w",9,91,"Coton de Tulear","",2006,"w","weiss"
"2432",93139,"51-60","m",10,101,"Chihuahua","",2003,"m","weiss/beige"
"2433",93139,"51-60","m",10,101,"Sheltie","",2008,"m","blue/merle"
"2434",93152,"51-60","w",1,14,"Belgischer Schäfer","",2007,"m","beige/schwarz"
"2435",93164,"71-80","w",2,24,"Lagotto Romagnolo","",2006,"m","braun/weiss"
"2436",93177,"31-40","w",7,71,"Französische Bulldogge","",2008,"w","creme"
"2437",93179,"71-80","m",2,21,"Labrador Retriever","",2004,"m","beige"
"2438",93202,"51-60","w",11,119,"Golden Retriever","",2007,"w","creme"
"2439",93203,"71-80","w",3,33,"Spinone","",2008,"w","weiss/orange"
"2440",93211,"51-60","m",7,72,"Continental Bulldog","",2008,"m","schwarz/braun gestromt"
"2441",93233,"51-60","w",10,102,"Bardino","Malinois",2012,"m","tricolor"
"2442",93233,"51-60","w",10,102,"Mischling klein","",2007,"w","creme"
"2443",93237,"51-60","w",10,101,"Mischling gross","",2014,"m","grau/weiss"
"2444",93238,"51-60","w",11,111,"Chihuahua","",2008,"m","braun"
"2445",93239,"51-60","m",9,92,"Labrador Retriever","",2012,"m","schwarz"
"2446",93251,"41-50","m",5,52,"Beagle","",2003,"m","tricolor"
"2447",93253,"41-50","w",2,21,"Pekingese","",2008,"m","braun/schwarz"
"2448",93257,"31-40","w",10,101,"Labrador Retriever","",2008,"m","braun/schwarz/grau"
"2449",93262,"71-80","w",12,122,"Spitz","",2004,"m","schwarz/weiss"
"2450",93267,"21-30","w",12,122,"Deutscher Schäfer","",2007,"m","schwarz/braun"
"2451",93270,"81-90","w",9,91,"Dackel","",2005,"m","hellbraun"
"2452",93278,"51-60","w",8,83,"Foxterrier","",2008,"m","tricolor"
"2453",93282,"31-40","m",6,63,"Beagle","",2008,"m","tricolor"
"2454",93288,"41-50","w",10,101,"Cavalier King Charles Spaniel","",2007,"m","tricolor"
"2455",93289,"41-50","w",8,81,"English Staffordshire Terrier","",2008,"m","schwarz"
"2456",93294,"31-40","w",2,24,"Soft Coated Wheaten Terrier","",2008,"m","weizen"
"2457",93299,"51-60","m",12,122,"Russischer Terrier","",2014,"m","schwarz"
"2458",93302,"41-50","w",3,31,"Jack Russel Terrier","",2008,"m","tricolor"
"2459",93302,"41-50","w",3,31,"Jack Russel Terrier","",2009,"m","tricolor"
"2460",93307,"41-50","m",4,42,"Malinois","",2014,"w","beige"
"2461",93318,"41-50","w",6,61,"Mischling klein","",2007,"w","schwarz"
"2462",93358,"61-70","m",9,91,"Jack Russel Terrier","",2007,"m","tricolor"
"2463",93392,"51-60","w",2,24,"Riesenschnauzer","",2004,"w","schwarz"
"2464",93400,"21-30","m",3,34,"Appenzeller","",2007,"m","schwarz/weiss"
"2465",93402,"31-40","w",11,111,"Do-Khyi","",2008,"m","schwarz/weiss/braun"
"2466",93406,"51-60","m",10,102,"Parson Russell Terrier","",2007,"m","tricolor"
